Time;Type;Aux temp;FPA temp;ROI values from Lepton;ROI from Lepton;ROI set to Lepton;Last FFC
1606568213;Forehead;2.859.000.015.258.780;28.579.999.923.706.000;"(27.960000000000036, 32.99000000000001, 20.24000000000001, 70)";"(10, 46, 16, 55)";"((46, 10), (55, 16))";
1606568240;Forehead;28.760.000.228.881.800;28.719.999.313.354.400;"(26.32000000000005, 33.360000000000014, 19.930000000000007, 70)";"(12, 35, 17, 44)";"((35, 12), (44, 17))";
1606569729;Forehead;29.040000915527344;29.06999969482422;(23.100000000000023, 25.129999999999995, 21.54000000000002, 4);(24, 41, 30, 51);((41, 24), (51, 30))
1606569748;Forehead;29.31999969482422;29.239999771118164;(30.730000000000018, 33.58000000000004, 21.210000000000036, 77);(20, 44, 26, 53);((44, 20), (53, 26))
1606569765;Forehead;29.540000915527344;29.399999618530273;(29.980000000000018, 32.80000000000001, 25.24000000000001, 70);(21, 43, 27, 53);((43, 21), (53, 27))
1606569781;Forehead;29.719999313354492;29.549999237060547;(30.74000000000001, 32.700000000000045, 21.090000000000032, 77);(21, 43, 27, 53);((43, 21), (53, 27))
1606569858;Forehead;29.5;29.489999771118164;(31.939999999999998, 33.52000000000004, 24.80000000000001, 77);(21, 38, 36, 50);((38, 21), (50, 36))
1606569882;Forehead;29.700000762939453;29.610000610351562;(28.0, 33.07000000000005, 20.0, 208);(22, 39, 31, 49);((39, 22), (49, 31))
1606569902;Forehead;29.8700008392334;29.75;(27.860000000000014, 32.660000000000025, 20.32000000000005, 110);(27, 38, 32, 48);((38, 27), (48, 32))
1606569917;Forehead;30.020000457763672;29.860000610351562;(29.52000000000004, 32.26000000000005, 20.58000000000004, 66);(27, 39, 33, 49);((39, 27), (49, 33))
1606569931;Forehead;30.18000030517578;29.959999084472656;(30.430000000000007, 32.22000000000003, 23.879999999999995, 77);(28, 40, 33, 50);((40, 28), (50, 33))
1606570255;Forehead;29.6299991607666;29.649999618530273;(31.360000000000014, 33.83000000000004, 21.700000000000045, 66);(12, 36, 17, 45);((36, 12), (45, 17));1606570253
1606570284;Forehead;29.8799991607666;29.81999969482422;(32.160000000000025, 33.28000000000003, 25.82000000000005, 60);(12, 36, 17, 45);((36, 12), (45, 17));1606570281
1606570328;Forehead;29.940000534057617;29.920000076293945;(21.930000000000007, 23.75, 20.410000000000025, 60);(20, 40, 23, 49);((40, 20), (49, 23));1606570326
1606570346;Forehead;29.989999771118164;29.969999313354492;(28.910000000000025, 32.68000000000001, 23.140000000000043, 40);(19, 40, 24, 50);((40, 19), (50, 24));1606570343
1606570360;Forehead;30.170000076293945;30.06999969482422;(27.700000000000045, 32.24000000000001, 20.470000000000027, 66);(19, 42, 24, 51);((42, 19), (51, 24));1606570357
1606570389;Forehead;30.299999237060547;30.170000076293945;(29.220000000000027, 32.59000000000003, 20.090000000000032, 60);(19, 42, 24, 51);((36, 19), (45, 15));1606570387
1606570543;Face;30.049999237060547;30.040000915527344;(32.76000000000005, 33.64000000000004, 30.660000000000025, 60);(12, 40, 49, 74);((40, 12), (74, 49));1606570541
1606570568;Face;30.270000457763672;30.18000030517578;(24.340000000000032, 33.950000000000045, 17.75, 1330);(12, 40, 49, 74);((35, 29), (69, 65));1606570566
1606571431;Forehead;30.639999389648438;30.65999984741211;(26.80000000000001, 33.58000000000004, 18.120000000000005, 1330);(6, 35, 15, 51);((35, 6), (51, 15));1606571429
1606571587;Forehead;30.68000030517578;30.719999313354492;(26.0, 33.25, 19.79000000000002, 170);(13, 38, 18, 46);((38, 13), (46, 18));1606571586
1606571611;Forehead;30.969999313354492;30.899999618530273;(32.47000000000003, 33.08000000000004, 31.120000000000005, 54);(13, 38, 18, 46);((38, 13), (46, 18));1606571610
1606571794;Forehead;30.84000015258789;30.889999389648438;(32.660000000000025, 33.28000000000003, 31.140000000000043, 54);(12, 38, 18, 48);((38, 12), (48, 18));1606571792
1606571832;Forehead;31.1200008392334;31.06999969482422;(32.19, 33.33000000000004, 24.620000000000005, 77);(12, 37, 17, 45);((37, 12), (45, 17));1606571830
1606571837;Forehead;31.18000030517578;31.09000015258789;(33.06, 33.59000000000003, 31.57000000000005, 54);(12, 37, 17, 45);((37, 12), (45, 17));1606571830
1606571844;Forehead;31.290000915527344;31.1299991607666;(33.110000000000014, 33.700000000000045, 31.900000000000034, 54);(11, 37, 16, 45);((37, 11), (45, 16));1606571830
1606571852;Forehead;31.329999923706055;31.219999313354492;(31.850000000000023, 32.629999999999995, 27.170000000000016, 54);(11, 37, 16, 46);((37, 11), (46, 16));1606571851
1606571934;Forehead;31.209999084472656;31.219999313354492;(32.30000000000001, 33.06, 28.340000000000032, 60);(12, 37, 17, 46);((37, 12), (46, 17));1606571932
1606571984;Forehead;31.309999465942383;31.260000228881836;(31.970000000000027, 32.84000000000003, 24.950000000000045, 60);(12, 36, 17, 44);((36, 12), (44, 17));1606571982
1606572017;Forehead;31.450000762939453;31.360000610351562;(30.660000000000025, 32.80000000000001, 21.99000000000001, 54);(12, 37, 17, 45);((37, 12), (45, 17));1606572015
1606572023;Forehead;31.530000686645508;31.3700008392334;(32.24000000000001, 33.360000000000014, 26.24000000000001, 54);(12, 37, 17, 45);((37, 12), (45, 17));1606572015
1606572028;Forehead;31.579999923706055;31.389999389648438;(32.30000000000001, 33.52000000000004, 25.53000000000003, 54);(12, 37, 17, 45);((37, 12), (45, 17));1606572015
1606572032;Forehead;31.600000381469727;31.399999618530273;(32.09000000000003, 33.400000000000034, 24.99000000000001, 54);(12, 37, 17, 45);((37, 12), (45, 17));1606572015
1606572057;Forehead;31.5;31.440000534057617;(31.470000000000027, 32.629999999999995, 25.82000000000005, 54);(13, 37, 17, 45);((37, 13), (45, 17));1606572055
1606572070;Forehead;31.639999389648438;31.450000762939453;(32.710000000000036, 33.29000000000002, 30.850000000000023, 45);(13, 36, 17, 44);((36, 13), (44, 17));1606572055
1606574255;Forehead;30.06999969482422;30.09000015258789;(32.04000000000002, 32.629999999999995, 30.52000000000004, 45);(11, 36, 16, 46);((36, 11), (46, 16));1606574254
1606574267;Forehead;30.350000381469727;30.190000534057617;(27.090000000000032, 33.5, 20.0, 66);(12, 41, 17, 51);((41, 12), (51, 17));1606574254
1606574286;Forehead;30.34000015258789;30.260000228881836;(26.5, 33.01000000000005, 18.04000000000002, 66);(13, 36, 18, 44);((36, 13), (44, 18));1606574285
1606574292;Forehead;30.40999984741211;30.260000228881836;(32.81, 33.460000000000036, 29.170000000000016, 54);(13, 37, 18, 45);((37, 13), (45, 18));1606574285
1606574310;Forehead;30.450000762939453;30.34000015258789;(31.450000000000045, 32.610000000000014, 23.760000000000048, 54);(13, 34, 18, 43);((34, 13), (43, 18));1606574309
1606574317;Forehead;30.530000686645508;30.350000381469727;(32.60000000000002, 33.5, 31.390000000000043, 60);(11, 35, 17, 44);((35, 11), (44, 17));1606574309
1606574336;Forehead;30.540000915527344;30.420000076293945;(31.920000000000016, 33.01000000000005, 23.720000000000027, 70);(11, 34, 17, 43);((34, 11), (43, 17));1606574334
1606574341;Forehead;30.56999969482422;30.420000076293945;(32.710000000000036, 33.77000000000004, 27.660000000000025, 70);(12, 34, 17, 43);((34, 12), (43, 17));1606574334
1606574358;Forehead;30.610000610351562;30.479999542236328;(31.960000000000036, 32.950000000000045, 28.07000000000005, 60);(11, 32, 16, 42);((32, 11), (42, 16));1606574357
